Id,SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed,usage,dow
1503960366,12/04/2016,1,327,346,high,Tuesday
1503960366,13/04/2016,2,384,407,high,Wednesday
1503960366,15/04/2016,1,412,442,high,Friday
1503960366,16/04/2016,2,340,367,high,Saturday
1503960366,17/04/2016,1,700,712,high,Sunday
1503960366,19/04/2016,1,304,320,high,Tuesday
1503960366,20/04/2016,1,360,377,high,Wednesday
1503960366,21/04/2016,1,325,364,high,Thursday
1503960366,23/04/2016,1,361,384,high,Saturday
1503960366,24/04/2016,1,430,449,high,Sunday
1503960366,25/04/2016,1,277,323,high,Monday
1503960366,26/04/2016,1,245,274,high,Tuesday
1503960366,28/04/2016,1,366,393,high,Thursday
1503960366,29/04/2016,1,341,354,high,Friday
1503960366,30/04/2016,1,404,425,high,Saturday
1503960366,01/05/2016,1,369,396,high,Sunday
1503960366,02/05/2016,1,277,309,high,Monday
1503960366,03/05/2016,1,273,296,high,Tuesday
1503960366,05/05/2016,1,247,264,high,Thursday
1503960366,06/05/2016,1,334,367,high,Friday
1503960366,07/05/2016,1,331,349,high,Saturday
1503960366,08/05/2016,1,594,611,high,Sunday
1503960366,09/05/2016,1,338,342,high,Monday
1503960366,10/05/2016,1,383,403,high,Tuesday
1503960366,11/05/2016,1,285,306,high,Wednesday
1644430081,29/04/2016,1,119,127,low,Friday
1644430081,30/04/2016,1,124,142,low,Saturday
1644430081,02/05/2016,1,796,961,low,Monday
1644430081,08/05/2016,1,137,154,low,Sunday
1844505072,15/04/2016,1,644,961,low,Friday
1844505072,30/04/2016,1,722,961,low,Saturday
1844505072,01/05/2016,1,590,961,low,Sunday
1927972279,12/04/2016,3,750,775,low,Tuesday
1927972279,13/04/2016,1,398,422,low,Wednesday
1927972279,15/04/2016,2,475,499,low,Friday
1927972279,26/04/2016,1,296,315,low,Tuesday
1927972279,28/04/2016,1,166,178,low,Thursday
2026352035,12/04/2016,1,503,546,high,Tuesday
2026352035,13/04/2016,1,531,565,high,Wednesday
2026352035,14/04/2016,1,545,568,high,Thursday
2026352035,15/04/2016,1,523,573,high,Friday
2026352035,16/04/2016,1,524,567,high,Saturday
2026352035,17/04/2016,1,437,498,high,Sunday
2026352035,19/04/2016,1,498,540,high,Tuesday
2026352035,20/04/2016,1,461,510,high,Wednesday
2026352035,21/04/2016,1,477,514,high,Thursday
2026352035,22/04/2016,1,520,545,high,Friday
2026352035,23/04/2016,1,522,554,high,Saturday
2026352035,24/04/2016,1,555,591,high,Sunday
2026352035,25/04/2016,1,506,531,high,Monday
2026352035,27/04/2016,1,508,545,high,Wednesday
