Id,ActivityHour,Calories,TotalIntensity,AverageIntensity,StepTotal,usage,dow
1503960366,12/04/2016 00:00:00,81,20,0.333333,373,high,Tuesday
1503960366,12/04/2016 01:00:00,61,8,0.133333,160,high,Tuesday
1503960366,12/04/2016 02:00:00,59,7,0.116667,151,high,Tuesday
1503960366,12/04/2016 03:00:00,47,0,0,0,high,Tuesday
1503960366,12/04/2016 04:00:00,48,0,0,0,high,Tuesday
1503960366,12/04/2016 05:00:00,48,0,0,0,high,Tuesday
1503960366,12/04/2016 06:00:00,48,0,0,0,high,Tuesday
1503960366,12/04/2016 07:00:00,47,0,0,0,high,Tuesday
1503960366,12/04/2016 08:00:00,68,13,0.216667,250,high,Tuesday
1503960366,12/04/2016 09:00:00,141,30,0.5,1864,high,Tuesday
1503960366,12/04/2016 10:00:00,99,29,0.483333,676,high,Tuesday
1503960366,12/04/2016 11:00:00,76,12,0.2,360,high,Tuesday
1503960366,12/04/2016 12:00:00,73,11,0.183333,253,high,Tuesday
1503960366,12/04/2016 13:00:00,66,6,0.1,221,high,Tuesday
1503960366,12/04/2016 14:00:00,110,36,0.6,1166,high,Tuesday
1503960366,12/04/2016 15:00:00,151,58,0.966667,2063,high,Tuesday
1503960366,12/04/2016 16:00:00,76,13,0.216667,344,high,Tuesday
1503960366,12/04/2016 17:00:00,83,16,0.266667,489,high,Tuesday
1503960366,12/04/2016 18:00:00,124,29,0.483333,1386,high,Tuesday
1503960366,12/04/2016 19:00:00,104,39,0.65,558,high,Tuesday
1503960366,12/04/2016 20:00:00,132,41,0.683333,1733,high,Tuesday
1503960366,12/04/2016 21:00:00,100,31,0.516667,684,high,Tuesday
1503960366,12/04/2016 22:00:00,65,9,0.15,89,high,Tuesday
1503960366,12/04/2016 23:00:00,81,21,0.35,338,high,Tuesday
1503960366,13/04/2016 00:00:00,69,14,0.233333,144,high,Wednesday
1503960366,13/04/2016 01:00:00,48,0,0,0,high,Wednesday
1503960366,13/04/2016 02:00:00,47,0,0,0,high,Wednesday
1503960366,13/04/2016 03:00:00,53,4,0.066667,36,high,Wednesday
1503960366,13/04/2016 04:00:00,47,0,0,0,high,Wednesday
1503960366,13/04/2016 05:00:00,47,0,0,0,high,Wednesday
1503960366,13/04/2016 06:00:00,48,0,0,0,high,Wednesday
1503960366,13/04/2016 07:00:00,59,8,0.133333,126,high,Wednesday
1503960366,13/04/2016 08:00:00,69,12,0.2,275,high,Wednesday
1503960366,13/04/2016 09:00:00,136,27,0.45,1679,high,Wednesday
1503960366,13/04/2016 10:00:00,77,15,0.25,295,high,Wednesday
1503960366,13/04/2016 11:00:00,84,16,0.266667,524,high,Wednesday
1503960366,13/04/2016 12:00:00,82,15,0.25,486,high,Wednesday
1503960366,13/04/2016 13:00:00,72,10,0.166667,302,high,Wednesday
1503960366,13/04/2016 14:00:00,128,46,0.766667,1577,high,Wednesday
1503960366,13/04/2016 15:00:00,79,13,0.216667,493,high,Wednesday
1503960366,13/04/2016 16:00:00,71,10,0.166667,299,high,Wednesday
1503960366,13/04/2016 17:00:00,87,23,0.383333,695,high,Wednesday
1503960366,13/04/2016 18:00:00,118,25,0.416667,1343,high,Wednesday
1503960366,13/04/2016 19:00:00,73,13,0.216667,258,high,Wednesday
1503960366,13/04/2016 20:00:00,47,0,0,0,high,Wednesday
1503960366,13/04/2016 21:00:00,48,0,0,0,high,Wednesday
1503960366,13/04/2016 22:00:00,74,11,0.183333,437,high,Wednesday
1503960366,13/04/2016 23:00:00,135,56,0.933333,1766,high,Wednesday
1503960366,14/04/2016 00:00:00,56,4,0.066667,81,high,Thursday
1503960366,14/04/2016 01:00:00,54,3,0.05,58,high,Thursday
1503960366,14/04/2016 02:00:00,47,0,0,0,high,Thursday
1503960366,14/04/2016 03:00:00,47,0,0,0,high,Thursday
1503960366,14/04/2016 04:00:00,47,0,0,0,high,Thursday
1503960366,14/04/2016 05:00:00,47,0,0,0,high,Thursday
1503960366,14/04/2016 06:00:00,47,0,0,0,high,Thursday
1503960366,14/04/2016 07:00:00,47,0,0,0,high,Thursday
1503960366,14/04/2016 08:00:00,47,0,0,0,high,Thursday
1503960366,14/04/2016 09:00:00,93,14,0.233333,902,high,Thursday
1503960366,14/04/2016 10:00:00,109,23,0.383333,1106,high,Thursday
1503960366,14/04/2016 11:00:00,64,7,0.116667,50,high,Thursday
1503960366,14/04/2016 12:00:00,85,18,0.3,501,high,Thursday
1503960366,14/04/2016 13:00:00,137,54,0.9,1779,high,Thursday
1503960366,14/04/2016 14:00:00,113,22,0.366667,1228,high,Thursday
1503960366,14/04/2016 15:00:00,66,7,0.116667,139,high,Thursday
